period,cumulative capacity(mw),cumulative count
"Jan 
2010",31.65478,5735
"Feb 
2010",33.0360998,6312
"Mar 
2010",35.5972708,7343
"Apr 
2010",38.2485272,8407
"May 
2010",42.5546042,9929
"Jun 
2010",48.1633092,11863
"Jul 
2010",54.0802813,14183
"Aug 
2010",59.8751795,16463
"Sep 
2010",67.4065512,19327
"Oct 
2010",76.8669342,22808
"Nov 
2010",87.4650492,26836
"Dec 
2010",95.5024883,29925
"Jan 
2011",106.6749967,34071
"Feb 
2011",120.1188133,38755
"Mar 
2011",139.931276,45833
"Apr 
2011",159.1979778,52173
"May 
2011",182.8754865,59514
"Jun 
2011",223.9982243,69057
"Jul 
2011",420.0558901,80335
"Aug 
2011",464.8858993,94502
"Sep 
2011",527.4028913,111956
"Oct 
2011",606.5722928,132461
"Nov 
2011",804.0428385,189523
"Dec 
2011",996.5913818,235772
"Jan 
2012",1027.170307,244322
"Feb 
2012",1200.773768,288339
"Mar 
2012",1312.690971,315504
"Apr 
2012",1330.259396,321067
"May 
2012",1366.444391,331625
"Jun 
2012",1436.988808,344907
"Jul 
2012",1636.794526,371516
"Aug 
2012",1652.179915,375547
"Sep 
2012",1674.113848,380964
"Oct 
2012",1718.818942,391835
"Nov 
2012",1746.468159,397789
"Dec 
2012",1769.430067,403982
"Jan 
2013",1797.800943,410635
"Feb 
2013",1839.551026,417766
"Mar 
2013",2199.93997,426094
"Apr 
2013",2285.497634,434695
"May 
2013",2384.037158,443474
"Jun 
2013",2466.663438,456382
"Jul 
2013",2509.205338,463440
"Aug 
2013",2577.332306,471775
"Sep 
2013",2627.389221,480644
"Oct 
2013",2675.046816,490080
" Nov 
2013",2757.703581,500831
"Dec 
2013",2888.062,509898
"Jan 
2014",2991.621157,518634
"Feb 
2014",3149.090204,528957
"Mar 
2014",4178.621648,545196
"Apr 
2014",4238.531379,553815
"May 
2014",4290.697643,563347
"Jun 
2014",4431.533342,574008
"Jul 
2014",4584.947728,585763
"Aug 
2014",4650.356971,597082
"Sep 
2014",4847.52977,610573
"Oct 
2014",5011.71872,624579
"Nov 
2014",5145.870264,637855
"Dec 
2014",5470.078814,651661
"Jan 
2015",5539.835113,660591
"Feb 
2015",5725.666397,671568
"Mar 
2015",8011.695498,688950
"Apr 
2015",8086.02489,700335
"May 
2015",8148.488021,712396
"Jun 
2015",8275.897733,729644
"Jul 
2015",8356.319085,741810
"Aug 
2015",8461.785956,754262
"Sep 
2015",8591.966161,775244
"Oct 
2015",8761.114599,792377
"Nov 
2015",8947.862282,814681
"Dec 
2015",9645.432323,840866
"Jan 
2016",9847.208623,860023
"Feb 
2016",9959.092952,863733
"Mar 
2016",11167.93121,868598
"Apr 
2016",11209.78678,872341
"May 
2016",11243.81466,876072
"Jun 
2016",11490.94232,880506
"Jul 
2016",11530.3015,884046
"Aug 
2016",11590.1588,887501
"Sep 
2016",11655.11356,892466
"Oct 
2016",11695.39705,895351
"Nov 
2016",11726.73953,898870
"Dec 
2016",11798.31827,901509
"Jan 
2017",11841.25871,904033
"Feb 
2017",11915.32119,906894
"Mar 
2017",12546.34212,910949
"Apr 
2017",12556.62639,913373
"May 
2017",12575.50582,916610
"Jun 
2017",12590.2614,919914
"Jul 
2017",12603.60305,922612
"Aug 
2017",12620.21043,925807
"Sep 
2017",12635.23179,929037
"Oct 
2017",12657.93546,931843
"Nov 
2017",12671.5191,935248
"Dec 
2017",12693.45923,937540
"Jan 
2018",12728.47879,939968
"Feb 
2018",12770.65249,942340
"Mar 
2018",12834.4298,945483
"Apr 
2018",12858.92522,948087
"May 
2018",12876.89548,951045
"Jun 
2018",12892.21787,954240
"Jul 
2018",12904.74907,957008
"Aug 
2018",12919.04222,960304
"Sep 
2018",12933.9857,963835
"Oct 
2018",12955.82969,967776
"Nov 
2018",12974.43878,972515
"Dec 
2018",12992.45005,976245
"Jan 
2019",13007.46288,980007
"Feb 
2019",13031.57292,985410
"Mar 
2019",13110.96769,1000468
"Apr 
2019",13116.04624,1002449
"May 
2019",13121.82448,1004794
"Jun 
2019",13128.51319,1007422
"Jul 
2019",13143.22581,1010067
"Aug 
2019",13151.77717,1012886
"Sep 
2019",13161.41722,1015951
"Oct 
2019",13173.20123,1019515
"Nov 
2019",13183.16342,1022706
"Dec 
2019",13265.82791,1025034
"Jan 
2020",13283.96181,1028193
"Feb 
2020",13295.15181,1031244
"Mar 
2020",13308.72481,1034467
"Apr 
2020",13311.36581,1034974
"May 
2020",13324.98581,1036061
"Jun 
2020",13334.86781,1038479
"Jul 
2020",13346.31281,1041732
"Aug 
2020",13402.24541,1044996
"Sep  
2020",13417.04941,1049069
"Oct 
2020",13431.36541,1053068
"Nov 
2020",13466.40427,1057418
"Dec 
2020",13477.16419,1060471
"Jan 
2021",13489.77776,1064148
"Feb 
2021",13502.57919,1067730
"Mar 
2021",13520.65105,1072721
"Apr 
2021",13537.65919,1077720
"May 
2021",13554.67489,1082795
"Jun 
2021",13572.3076,1088029
"Jul 
2021",13589.90922,1092854
"Aug 
2021",13608.01098,1097936
"Sep
2021",13629.65042,1103914
"Oct
2021",13649.59089,1109525
"Nov
2021",13675.44704,1116638
"Dec
2021",13693.30654,1121820
"Jan
2022",13715.69392,1127935
"Feb
2022",13743.31454,1135501
